Chinese,Pinyin,Part,Definition,Sentence 1 - Chinese,Sentence 1 - Pinyin,Sentence 1 - English,Sentence 2 - Chinese,Sentence 2 - Pinyin,Sentence 2 - English
原因,yuányīn,Noun,reason,明天他就要回国了，原因是他妈妈生病了。,"Míngtiān tā jiù yào huíguó le, yuányīn shì tā māma shēngbìng le.","He is going back to his country tomorrow, the reason is that his mother is sick.",我这次迟到是有特别的原因。,Wǒ zhè cì chídào shì yǒu tèbié de yuányīn.,I have a special reason for being late this time.
夹,jiá,Verb,to pick up food with chopsticks,中国人和日本人都习惯用筷子夹菜吃。,Zhōngguó rén hé Rìběn rén dōu xíguàn yòng kuàizi jiá cài chī.,Chinese and Japanese are used to use chopsticks to pick up food and eat.,可以帮我夹一些菜吗？,Kěyǐ bāng wǒ jiá yīxiē cài ma?,Can you pick up some food with chopsticks for me?
装,zhuāng,Verb,"to wrap (something in a bag), to load, to pack",我装了一些牛奶在杯子里。,Wǒ zhuāng le yìxiē niúnǎi zài bēizi lǐ.,I put some milk in the glass.,你装了什么在锅子里？,Nǐ zhuāng le shénme zài guōzi lǐ?,What do you load into the pot?
打开,dǎkāi,Verb,"to open, to turn on, to switch on",今天天气真好，我们把窗户打开，晒晒太阳吧！,"Jīntiān tiānqì zhēn hǎo, wǒmen bǎ chuānghù dǎkāi, shài shài tàiyáng ba!","Today’s weather is so nice, let’s open the window and enjoy the sunshine!",有时候爸爸会打开电视看篮球比赛。,Yǒu shíhou bàba huì dǎkāi diànshì kàn lánqiú bǐsài.,Sometimes father will turn on the TV and watch a basketball game.
拿,ná,Verb,"to hold, to seize, to catch, to take",请把我的水瓶拿给我，谢谢。,"Qǐng bǎ wǒde shuǐpíng ná gěi wǒ, xièxie.","Please give me my water bottle, thank you.",你手上拿的东西是什么？,Nǐ shǒu shàng ná de dōngxi shì shénme?,What is the thing in your hand?
行李,xínglǐ,Noun,luggage,请问我可以带多重的行李？,Qǐngwèn wǒ kěyǐ dài duō zhòng de xínglǐ?,What is the maximum weight I can bring in my luggage?,请问你的行李几公斤？,Qǐngwèn nǐ de xínglǐ jǐ gōngjīn?,How many kilograms is your luggage?
口袋,kǒudài,Noun,pocket,安全检查的时候，请把口袋里的东西拿出来。,"Ānquán jiǎnchá de shíhou, qǐng bǎ kǒudài lǐ de dōngxi ná chūlái.","When you check through security, please take out the things in your pocket.",我常把重要的东西放在口袋里。,Wǒ cháng bǎ zhòngyào de dōngxi fàng zài kǒudài lǐ.,I often put important things in my pocket.
水瓶,shuǐpíng,Noun,water bottle,安全检查的时候，不能把水瓶带进去。,"Ānquán jiǎnchá de shíhou, bùnéng bǎ shuǐpíng dài jìnqù.","When going through security check, we can not bring water bottles.",你的水瓶能装多少水？,Nǐ de shuǐpíng néng zhuāng duōshǎo shuǐ?,How much water can you hold in your water bottle?
钱币,qiánbì,Noun,coins,你喜欢搜集你去过的国家的钱币吗？,Nǐ xǐhuan sōují nǐ qùguò de guójiā de qiánbì ma?,Do you like to collect the coins of the countries you've been to?,我昨天买东西的时候，店员给我很多钱币。,"Wǒ zuótiān mǎi dōngxī de shíhou, diànyuán gěi wǒ hěn duō qiánbì.","After I bought things yesterday, the clerk gave me a lot of coins."
护照,hùzhào,Noun,passport,出国前，不要忘了带护照。,"Chūguó qián, búyào wàng le dài hùzhào.","Before going abroad, do not forget to take your passport.",我忘了我的护照放在哪里，请帮我找一找。,"Wǒ wàng le wǒ de hùzhào fàng zài nǎlǐ, qǐng bāng wǒ zhǎo yì zhǎo.","I forgot where my passport was, please help me find it."
钥匙,yàoshi,Noun,key,出门以前记得要带钥匙。,Chūmén yǐqián jìde yào dài yàoshi.,Remember to bring your keys before going out.,我忘了我把钥匙放在哪里。,Wǒ wàng le wǒ bǎ yàoshi fàng zài nǎlǐ.,I forgot where I put the key.
签证,qiānzhèng,Noun,visa,我的护照跟签证都在口袋里。,Wǒde hùzhào gēn qiānzhèng dōu zài kǒudài lǐ.,My passport and visa are in my pocket.,出国以前要检查你的护照和签证有没有问题。,Chūguó yǐqián yào jiǎnchá nǐ de hùzhào hé qiānzhèng yǒu méiyǒu wèntí.,"Before going abroad, you have to check your passport and visa are without any problems."
机场,jīchǎng,Noun,airport,出国前要早两到三个小时到机场。,Chūguó qián yào zǎo liǎng dào sānge xiǎoshí dào jīchǎng.,Go to the airport two to three hours before going abroad,从你家到机场远不远？,Cóng nǐ jiā dào jīchǎng yuǎn bùyuǎn?,Is your home far from the airport?
看到,kàndào,Verb,"to see, to catch sight of",昨天我在公园里看到他在打球。,Zuótiān wǒ zài gōngyuán lǐ kàndào tā zài dǎqiú.,I saw him playing ball in the park yesterday.,你多久没看到他了？,Nǐ duōjiǔ méi kàndào tā le?,How long haven’t you seen him?
久,jiǔ,Adj,"(long) time, (long) duration of time",他什么时候回来？他出去很久了。,Tā shénme shíhou huílái? Tā chūqù hěn jiǔ le.,When will he come back? He went out for a long time.,很久以前我去过日本旅游。,Hěn jiǔ yǐqián wǒ qù guò Rìběn lǚyóu.,I have been to Japan a long time ago.
大概,dàgài,Adv,"probably, roughly, approximately, about,",他好像很不舒服，大概是生病了。,"Tā hǎoxiàng hěn bù shūfu, dàgài shì shēngbìng le.","He seems not so comfortable, probably he is sick.",我今天要跟朋友去演唱会，大概晚上十点回来。,"Wǒ jīntiān yào gēn péngyou qù yǎnchànghuì, dàgài wǎnshàng shí diǎn huílái.","I will go to a concert with a friend today, probably will come back at 10pm."
这么,zhème,Adv,"so much, this much",虽然他住在北京这么久了，但是还是会迷路。,"Suīrán tā zhù zài Běijīng zhème jiǔ le, dànshì háishì huì mílù.","Although he lives in Beijing for a long time, but he still gets lost .",你不是要去朋友家吃火锅？怎么这么快就回来了？,Nǐ búshì yào qù péngyou jiā chī huǒguō? Zěnme zhème kuài jiù huílái le?,Weren’t you going to your friend’s for hot pot? Why did you come back so early?
一定,yídìng,Adv,"surely, certainly",要是你每天练习汉语，不久以后一定可以说得很好的！,"Yàoshi nǐ měitiān liànxí hànyǔ, bùjiǔ yǐhòu yídìng kěyǐ shuō de hěn hǎo de!","If you practice Mandarin every day, you definitely can speak Mandarin fluently in a short time.",要是你不早点睡，明天一定会迟到。,"Yàoshi nǐ bù zǎodiǎn shuì, míngtiān yídìng huì chídào.","If you don’t go sleep early, you will definitely be late tomorrow."
接,jiē,Verb,"to pick up (the phone), to answer (the phone)",我刚刚没接到他的电话。,Wǒ gānggāng méi jiē dào tā de diànhuà.,I just missed his phone call.,我在做饭，你可以帮忙接电话吗？,"Wǒ zài zuò fàn, nǐ kěyǐ bāngmáng jiē diànhuà ma?","I am cooking, can you pick up the phone?"
空,kōng,Adj,empty,你家还有没有空的房间？,Nǐ jiā hái yǒu méiyǒu kōng de fángjiān?,Is there any empty room in your home?,我家已经没有空房间了。,Wǒ jiā yǐjīng méiyǒu kōng fángjiān le.,My home has no empty room.
房东,fángdōng,Noun,landlord,我不喜欢我的房东，因为我有问题的时候他都不帮我。,"Wǒ bù xǐhuān wǒ de fángdōng, yīnwèi wǒ yǒu wèntí de shíhou tā dōu bù bāng wǒ.","I do not like my landlord, because he did not help me when there was a problem.",我的房东常常自己开门进来，我该怎么办？,"Wǒ de fángdōng chángcháng zìjǐ kāimén jìnlái, wǒ gāi zěnmebàn?",My landlord often lets himself into my room. How should I deal with it?
房客,fángkè,Noun,tenant,我房间旁边的房客是大学生。,Wǒ fángjiān pángbiān de fángkè shì dàxuéshēng .,"My room is next to the tenant, who is college students.",我楼上的房客晚上常常唱歌，我都不能睡觉。,"Wǒ lóushàng de fángkè wǎnshàng chángcháng chànggē, wǒ dōu bùnéng shuìjiào.","My upstairs tenants often sing at night, I can not sleep."
交通,jiāotōng,Noun,transportation/traffic,这附近的交通方便吗？,Zhè fùjìn de jiāotōng fāngbiàn ma?,Is the nearby transportation convenient?,这附近交通不太方便，我想换房子。,"Zhè fùjìn jiāotōng bú tài fāngbiàn, wǒ xiǎng huàn fángzi.","The transportation here is not convenient, I want to move to another place."
帮助,bāngzhù,Noun/Verb,"assistance, aid, to help, to assist",你有什么问题我都可以帮助你。,Nǐ yǒu shénme wèntí wǒ dōu kěyǐ bāngzhù nǐ.,I can help if you have any questions.,昨天我的房东帮助我把床搬上去。,Zuótiān wǒ de fángdōng bāngzhù wǒ bǎ chuáng bān shàngqù.,Yesterday my landlord helped me to move the bed up.
合适,héshì,Adj,"suitable, fitting",我最近想换房子，你家附近有没有合适的空房子？,"Wǒ zuìjìn xiǎng huàn fángzi, nǐjiā fùjìn yǒu méiyǒu héshì de kōng fángzi?","Recently I have wanted to move to a new house, is there any suitable and empty houses near your home?",我帮你问问我朋友这附近有没有合适的空房子。,Wǒ bāng nǐ wènwèn wǒ péngyǒu zhè fùjìn yǒu méiyǒu héshì de kōng fángzi.,I will ask my friend is there any suitable and empty houses nearby.
换,huàn,Verb,"to change, to switch",我想换一间交通比较方便的房子。,Wǒ xiǎng huàn yìjiàn jiāotōng bǐjiào fāngbiàn de fángzi.,I want to move to a house which has a more convenient transportation conditions.,我没有硬币了，可以去银行换钱吗？,"Wǒ méiyǒu yìngbì le, kěyǐ qù yínháng huànqián ma?","I do not have coins, can I go to the bank to exchange money?"
间,jiān,Measure word,"section of a room or lateral space between two pairs of pillars, Measure word for rooms",听说那间房子交通很方便也很便宜。,Tīngshuō nàjiān fángzi jiāotōng hěn fāngbiàn yě hěn piányi.,I heard that the house is very convenient and very cheap.,这间房间很大也很安静。,Zhèjiān fángjiān hěn dà yě hěn ānjìng.,This room is very large and very quiet.
吵,chǎo,Verb,"to make a noise, noisy",这间房子在火车站附近，所以很吵。,"Zhèjiān fángzi zài huǒchēzhàn fùjìn, suǒyǐ hěnchǎo.","The house is near the train station, so it is noisy.",大家都不喜欢住在很吵的地方。,Dàjiā dōu bù xǐhuan zhù zài hěnchǎo de dìfāng.,We do not like to live in a very noisy place.
其他,qítā,Pronoun,"other, (something or somebody) else, the rest",我觉得这间房子不够大，我想看其他间。,"Wǒ juéde zhèjiān fángzi búgòu dà, wǒ xiǎng kàn qítā jiān.","This house is not big enough, I want to see another one.",他没有其他朋友。,Tā méiyǒu qítā péngyǒu.,He has no other friends.
平常,píngcháng,Adv,usually,他平常都自己做饭。,Tā píngcháng dōu zìjǐ zuòfàn.,He usually cooks for himself.,我平常不去很贵的餐厅。,Wǒ píngcháng búqù hěnguì de cāntīng.,I usually do not go to the very expensive restaurant.
洗手间,xǐshǒujiān,Noun,bathroom,这间房子的洗手间很大。,Zhèjiān fángzi de xǐshǒujiān hěndà.,The house has a large bathroom.,这间学校没有很多洗手间。,Zhèjiān xuéxiào méiyǒu hěnduō xǐshǒujiān.,This school does not have a lot of toilets.
文化,wénhuà,Noun,culture,用筷子吃饭是中国的文化。,Yòng kuàizi chīfàn shì Zhōngguó de wénhuà.,Eating with chopsticks is part of Chinese culture.,每个国家的文化都有不一样的特色。,Měi gè guójiā de wénhuà dōu yǒu bù yīyàng de tèsè.,Every country's culture has different characteristics.
相信,xiāngxìn,Verb,"to be convinced (that something is true), to believe,",你不应该相信他，他说的话都不是真的。,"Nǐ bù yīnggāi xiāngxìn tā, tā shuō de huà dōu búshì zhēnde.","You should not believe him, what he said are all not true.",我相信我会把汉语学好。,Wǒ xiāngxìn wǒ huì bǎ hànyǔ xuéhǎo.,I believe I will improve my Chinese.
机会,jīhuì,Noun,"opportunity, chance,",看中国电影是学习汉语的好机会。,Kàn Zhōngguó diànyǐng shì xuéxí hànyǔ de hǎo jīhuì.,Watching Chinese movies is a good way to learn Chinese.,我很开心有机会到中国去工作。,Wǒ hěn kāixīn yǒu jīhuì dào Zhōngguó qù gōngzuò.,I am happy that I have a chance to work in China.
复习,fùxí,Verb,to review,你每天复习汉语吗？,Nǐ měitiān fùxí hànyǔ ma?,Do you review Chinese every day?,老师说我们应该要每天复习汉语。,Lǎoshī shuō wǒmen yīnggāi yào měitiān fùxí hànyǔ.,Teacher said we should review Chinese every day.
下次,xiàcì,Noun,next time,我们下次一起去看京剧吧！,Wǒmen xiàcì yìqǐ qù kàn jīngjù ba!,Let’s go to see Peking Opera next time!,下次我想去北京旅游。,Xiàcì wǒ xiǎng qù Běijīng lǚyóu.,I want to go travel in Beijing next time.
懂,dǒng,Verb,"to understand, to comprehend",老师说的话，你都懂吗？,"Lǎoshī shuō de huà, nǐ dōu dǒng ma？",Do you understand what did teacher say?,我看不懂这部电影的意思。,Wǒ kàn bù dǒng zhè bù diànyǐng de yìsi.,I don’t understand the meaning of this movie.
自己,zìjǐ,Pronoun,oneself/myself/ownself,我常自己一个人去旅游。,Wǒ cháng zìjǐ yígèrén qù lǚyóu.,I go travel by myself often.,放假的时候，我喜欢自己在家看书。,"Fàngjià de shíhou, wǒ xǐhuan zìjǐ zàijiā kànshū.",I like to read at home by myself in my day off.
京剧,jīngjù,Noun,"Beijing Opera, Peking Opera",我的房东觉得京剧很有意思。,Wǒ de fángdōng juéde jīngjù hěn yǒuyìsi.,My landlord thinks Peking Opera is interesting.,京剧是中国很重要的文化。,Jīngjù shì Zhōngguó hěn zhòngyào de wénhuà.,Peking Opera is an important part of Chinese culture.
表演,biǎoyǎn,Noun/Verb,"performance,perform",你看楼下有一个表演，看起来很热闹。,"Nǐ kàn lóuxià yǒu yígè biǎoyǎn, kàn qǐlái hěn rènào.","Look! There is a show downstairs, it looks exciting.",她表演得很好。,Tā biǎoyǎn de hěn hǎo.,She performs well.
精彩,jīngcǎi,Adj,"brilliant, marverlous",这个演唱会非常精彩。,Zhège yǎnchànghuì fēicháng jīngcǎi.,This concert is amazing.,这么精彩的表演，下次我还要来看。,"Zhème jīngcǎi de biǎoyǎn, xiàcì wǒ hái yào lái kàn.",What a brilliant show! I will come to see this show again.
怎么了？,zěnmele?,Phrase,"What's up?, What's going on?, What happened?",怎么了？你的身体不舒服吗？,Zěnmele? Nǐ de shēntǐ bù shūfu ma?,What happened? Are you not feeling well?,你昨天怎么了？为什么没来学校？,Nǐ zuótiān zěnmele? Wèishénme méi lái xuéxiào?,What happened to you yesterday? Why didn’t you come to school?
吵架,chǎojià,Verb,to quarrel,因为他们的做法不一样，所以吵架了。,"Yīnwèi tāmen de zuòfǎ bù yíyàng, suǒyǐ chǎojià le.","Their methods were different, so they quarreled.",你知道他们吵架的原因是什么吗？,Nǐ zhīdào tāmen chǎojià de yuányīn shì shénme ma?,Do you know the reason why they quarreled?
脸色,liǎnsè,Noun,"complexion, look",她生病了，所以脸色不太好。,"Tā shēngbìng le, suǒyǐ liǎnsè bú tài hǎo.","She is ill, so she has bad complexion.",你的脸色看起来不错！发生了什么好事吗？,Nǐ de liǎnsè kàn qǐlái bu cuò! Fāshēngle shénme hǎoshì ma?,You look great ! Did something good happen?
男朋友,nánpéngyou,Noun,boyfriend,我的男朋友现在在国外工作，我非常想他。,"Wǒ de nánpéngyou xiànzài zài guówài gōngzuò, wǒ fēicháng xiǎng tā.","My boyfriend is working abroad, I miss him so much.",她的男朋友虽然胖，但是比你高得多了！,"Tā de nánpéngyou suīrán pàng, dànshì bǐ nǐ gāo de duō le!","Although her boyfriend is fat, he is much taller than you!"
哭,kū,Verb,"to cry, to weep",他的女儿因为太饿，所以哭了。,"Tā de nǚér yīnwèi tài è, suǒyǐ kū le.","His daughter is hungry, so she cries.",他已经跟你说对不起了，你不要再哭了。,"Tā yǐjīng gēn nǐ shuō duìbùqǐ le, nǐ bùyào zài kū le.","He has already apologized to you, don not cry any more."
谈一谈,tán yī tán,Verb,to talk about,你看起来很难过，要跟我谈一谈吗？,"Nǐ kàn qǐlái hěn nánguò, yào gēn wǒ tán yì tán ma?","You look sad, do you want to talk to me ?",跟我们谈一谈昨天的英语课吧！,Gēn wǒmen tán yì tán zuótiān de yīngyǔ kè ba!,Talk about English class of yesterday with us!
难看,nánkàn,Adj,"ugly, unsightly",你的脸色真难看，要不要休息一下？,"Nǐ de liǎnsè zhēn nánkàn, yào búyào xiūxí yí xià?","Your complexion is bad, do you need a rest?",你写的字好难看，你要多练习！,"Nǐ xiě de zì hǎo nánkàn, nǐ yào duō liànxí!","Your writing is unsightly, you need to practice more."
发生,fāshēng,Verb,"happen, occur, take place",为什么你们都不跟他说话？可以告诉我发生了什么事吗？,Wèishénme nǐmen dōu bù gēn tā shuōhuà? Kěyǐ gàosù wǒ fāshēngle shénme shì ma?,Why don’t you talk with him? Can you tell me what happened?,要是你不专心过马路，危险的事就会发生。,"Yàoshì nǐ bù zhuānxīn guò mǎlù, wēixiǎn de shì jiù huì fāshēng.","If you don’t cross the road carefully, something dangerous may happen."
误会,wùhuì,Noun/Verb,"misunderstanding, misunderstand",你们误会他了，他没有迟到。,"Nǐmen wùhuì tā le, tā méiyǒu chídào.","You misunderstood him, he wasn’t late.",对不起，我们误会你了！,"Duìbùqǐ, wǒmen wùhuì nǐ le!","I am sorry, we misunderstood you!"
电脑,diànnǎo,Noun,computer,这台电脑是谁的？你知道吗？,Zhè tái diànnǎo shì shéi de? Nǐ zhīdào ma?,Whose computer is this? Do you know?,我想买电脑，你有什么想法？,"Wǒ xiǎng mǎi diànnǎo, nǐ yǒu shénme xiǎngfǎ?","I want to buy a computer, what do you think?"
台,tái,Measure word,Measure word for vehicles or machines,这台电视是他的，但是坏了。,"Zhè tái diànshì shì tā de, dànshì huài le.","This is his TV, but it’s broken.",他买了一台电脑，是新的。,"Tā mǎi le yī tái diànnǎo, shì xīn de.","He bought a computer, which is brand new."
打折,dǎzhé,Verb Object,to give a discount,今天百货公司在打折。,Jīntiān bǎihuò gōngsī zài dǎzhé.,It’s sales today in the department store.,打折以后是三百人民币。,Dǎzhé yǐhòu shì sānbǎi rénmínbì.,"After the discount, it is three hundred RMB."
陪,péi,Verb,"to accompany, to keep somebody company",今天谢谢你陪我回家。,Jīntiān xièxiè nǐ péi wǒ huí jiā.,Thank you for walking me home today.,今天天气很好，他陪我走去学校。,"Jīntiān tiānqì hěn hǎo, tā péi wǒ zǒu qù xuéxiào.",It was nice weather today and he accompanied with me to the school.
银行,yínháng,Noun,bank,我明天会把钱拿去银行。,Wǒ míngtiān huì bǎ qián ná qù yínháng.,I'll bring the money to the bank tomorrow.,今天早上我去银行，发现银行没开门。,"Jīntiān zǎoshang wǒ qù yínháng, fāxiàn yínháng méi kāimén.",I went to the bank this morning and found that it did not open.
父母,fùmǔ,Noun,parents,这是我的父母，他们第一次来这间餐厅。,"Zhè shì wǒ de fùmǔ, tāmen dì yī cì lái zhè jiān cāntīng.","They are my parents, it is their first time to come to this restaurant.",我的父母一直都很忙，我们很少一起吃饭。,"Wǒ de fùmǔ yīzhí dōu hěn máng, wǒmen hěn shǎo yīqǐ chīfàn.","My parents are always busy, we rarely eat together."
百货公司,bǎihuò gōngsī,Noun,department store,明天一起去百货公司看看。,Míngtiān yīqǐ qù bǎihuò gōngsī kàn kàn.,Let’s go to department store and look around tomorrow.,这间百货公司有很多日本商店。,Zhè jiān bǎihuò gōngsī yǒu hěnduō rìběn shāng diàn.,There are a lot of Japanese shops in this department store .
冰箱,bīngxiāng,Noun,refrigerator,冰箱里有很多牛奶，你可以喝。,"Bīngxiāng li yǒu hěnduō niúnǎi, nǐ kěyǐ hē.","There are a lot of milk in the fridge, you can drink.",明天下午要去百货公司买冰箱。,Míngtiān xiàwǔ yào qù bǎihuò gōngsī mǎi bīngxiāng.,We will buy a fridge in department store tomorrow afternoon.
二手,èrshǒu,Adj,"second-hand (information, equipment etc)",这是一张二手沙发，但是看起来很新。,"Zhè shì yī zhāng èrshǒu shāfā, dànshì kàn qǐlái hěn xīn.","This is a second hand sofa, but it looks new.",在哪里可以买二手冰箱？,Zài nǎlǐ kěyǐ mǎi èrshǒu bīngxiāng?,Where can I buy second-hand refrigerators?
原来,yuánlái,Adj/Adv,"original, former",我原来的电脑坏了，所以买新的。,"Wǒ yuánlái de diànnǎo huài le, suǒyǐ mǎi xīn de.","My old computer is broken, so I bought a new one.",原来放在这里的冰箱去哪里了？,Yuánlái fàng zài zhèlǐ de bīngxiāng qù nǎlǐ le?,Where is the refrigerator that I put here?
轻松,qīngsōng,Adj,"relaxed,to relaxed",他的工作很轻松。,Tā de gōngzuò hěn qīngsōng.,His work is simple.,他觉得夏天旅游比冬天旅游轻松多了。,Tā juéde xiàtiān lǚyóu bǐ dōngtiān lǚyóu qīngsōng duō le.,He thinks traveling in summer is more relaxed than in winter.
出发,chūfā,Verb,"to set off, to start (on a journey)",明天九点从家里出发。,Míngtiān jiǔ diǎn cóng jiā lǐ chūfā.,He departs tomorrow at 9 am from home.,你要几点出发去公司呢？,Nǐ yào jǐdiǎn chūfā qù gōngsī ne?,What time do you want to go to the company?
历史,lìshǐ,Noun,history,这座城市有许多历史古迹。,Zhè zuò chéngshì yǒu xǔduō lìshǐ ɡǔjì.,The city has many historical monuments.,你听过哪些历史故事？,Nǐ tīngguò nǎxiē lìshǐ gùshì.,Which historical stories you’ve heard?
现代,xiàndài,Noun/Adj,"modern times, modern age, modern era",你了解现代艺术吗？,Nǐ liǎojiě xiàndài yìshù ma?,Do you know about modern art?,这座城市有很多现代风格的大楼。,Zhè zuò chéngshì yǒu hěnduō xiàndài fēnggé de dàlóu.,The city has many modern buildings.
市中心,shì zhōngxīn,Noun,"city center, downtown",明天十点我们出发去市中心。,Míngtiān shí diǎn wǒmen chūfā qù shì zhōngxīn,Tomorrow at ten a.m. we'll set off to the city center.,他家住在市中心里。,Tā jiā zhù zài shì zhōngxīn lǐ.,He lives in the city center.
禁止,jìnzhǐ,Verb,"to prohibit, to forbid, to ban",这里禁止吃东西。,Zhèlǐ jìnzhǐ chī dōngxi.,Eating is forbidden here.,公车里禁止大声说话。,Gōngchē li jìnzhǐ dà shēng shuōhuà.,Speaking loudly is forbidden on the bus.
逛,guàng,Verb,"to stroll, to visit",我最喜欢出门逛逛。,Wǒ zuì xǐhuan chūmén guàng guàng.,I like to go shopping.,明天我会去市场逛逛。,Míngtiān wǒ huì qù shìchǎng guàng guàng.,I will go to the market tomorrow.
风格,fēnggé,Noun,style,这件衣服有中国的风格。,Zhè jiàn yīfu yǒu Zhōngguó de fēnggé.,This outfit is Chinese style.,我很喜欢现代风格的大楼。,Wǒ hěn xǐhuan xiàndài fēnggé de dàlóu.,I like the building with modern style.
当然,dāngrán,Adv,"certainly, of course",A: 我们可以谈一谈吗？ B: 当然！,A: Wǒmen kěyǐ tán yī tán ma? B: Dāngrán!,A: Can we talk? B: Of course.,我们当然要去美美的生日会啊！,Wǒmen dāngrán yào qù Měiměi de shēngrì huì a!,We certainly will go Meimei’s birthday party.
迷路,mílù,Verb Object,"to lose the way, lost,",因为我迷路，所以迟到了。,"Yīnwèi wǒ mílù, suǒyǐ chídàole.","Because I was lost, I was late.",他昨天在百货公司里迷路。,Tā zuótiān zài bǎihuò gōngsī lǐ mílù.,He was lost in the department store yesterday.
上车,shàng chē,Verb Object,"to get on or into (a bus, train, car etc)",上车吧！我开车带你去公司。,Shàng chē ba! Wǒ kāichē dài nǐ qù gōngsī.,"Get in the car, I will drive you to the office.",他上车以后发现坐错车了。,Tā shàng chē yǐhòu fāxiàn zuò cuòchēle.,He found out that he took a wrong bus only after got on the bus.
晴天,qíngtiān,Noun,sunny day,你喜欢晴天还是雨天呢？,Nǐ xǐhuan qíngtiān háishì yǔtiān ne?,Do you like sunny or rainy days?,今天是晴天，我们一起去走走吧！,"Jīntiān shì qíngtiān, wǒmen yīqǐ qù zǒu zǒu ba!",Today is a sunny day. Let's go for a walk!
来不及,láibují,Phrase,"there's not enough time (to do something), it's too late (to do something)",来不及了，快一点儿，要迟到了。,"Láibujíle, kuài yìdiǎnr, yào chídào le.",It is too late. Hurry up. We are going to be late.,上班来不及了，快上车。,"Shàngbān láibujíle, kuài shàng chē.","It’s almost late for work, get on the car quickly."
然后,ránhòu,Adv,"then, after that",煮火锅的方法不难。先把火打开，再把蔬菜、肉放进去锅子里，然后等一会儿就可以吃了。,"Zhǔ huǒguō de fāngfǎ bù nán. Xiān bǎ huǒ dǎkāi, zài bǎ shūcài, ròu fàng jìnqù guōzi lǐ, ránhòu děng yìhuǐr jiù kěyǐ chī le.","It is not difficult to make hotpot. First, turn on the stove, then put vegetables and meats in the pot. After waiting for a while, you can eat it.",我喜欢先喝汽水跟汤，然后再吃饭。,"Wǒ xǐhuan xiān hē qìshuǐ gēn tāng, ránhòu zài chīfàn.","I like to first drink soft drinks and soup, and then eat."
赶快,gǎnkuài,Adv,"at once, immediately",我们赶快走吧！要下雨了。,Wǒmen gǎnkuài zǒu ba! Yào xià yǔle.,Let's go! It is going to rain soon.,你看！公共汽车来了，赶快跑。,"Nǐ kàn! Gōnggòng qìchē lái le, gǎnkuài pǎo.","Look! The bus is coming, run quickly."
下车,xiàchē,Verb Object,"to get off or out of (a bus, train, car etc)",你下车以后，往右拐。医院就在那儿。,"Nǐ xiàchē yǐhòu, wǎng yòu guǎi. Yīyuàn jiù zài nà'er.","After you get off the bus, turn right. The hospital is right there.",赶快下车，大家都在等你呢！,"Gǎnkuài xià chē, dàjiā dōu zài děng nǐ ne!",Get off quickly. Everyone is waiting for you!
急,jí,Adj,"hurried, to make (somebody) anxious",这件事很急，我今天一定要做完。,"Zhè jiàn shì hěn jí, wǒ jīntiān yídìng yào zuò wán.","This is urgent, I have to finish it today.",今天早上太晚起床，急得把衣服穿错了,"Jīntiān zǎoshang tài wǎn qǐchuáng, jí de bǎ yīfu chuān cuòle.","I woke up too late today, I wore wrong clothes because i was in the hurry."
弄,nòng,Verb,"to do, to manage, to handle, to play with, to fool with, to mess with, to fix, to toy with",妈妈弄了一碗面。,Māmā nòngle yī wǎn miàn.,Mom made a bowl of noodles.,她把画弄坏了。,Tā bǎ huà nòng huài le.,She broke the painting.
坏,huài,Adj,"bad, spoiled, broken, to break down",他把东西弄坏了，妈妈很生气。,"Tā bǎ dōngxi nòng huài le, māma hěn shēngqì.","He broke something, Mom is very angry.",这台电脑坏了，已经不能用了。,"Zhè tái diànnǎo huài le, yǐjīng bùnéng yòng le.",This computer is broken. It can not work any more.
生气,shēngqì,Adj,"to get angry, angry",他看起来很生气，发生什么事了？,"Tā kàn qǐlái hěn shēngqì, fāshēng shénme shì le?",He looks very angry. What happened?,东西坏了，他很生气。,"Dōngxi huài le, tā hěn shēngqì.","Something is broken, he is very angry."
不小心,bù xiǎoxīn,Adj/Adv,"heedless, careless",我不小心把东西打破了。,Wǒ bù xiǎoxīn bǎ dōngxi dǎpò le.,I accidentally broke something.,他不小心弄坏了椅子，妈妈很生气。,"Tā bù xiǎoxīn nòng huài le yǐzi,māma hěn shēngqì.",He accidentally broke the chair. His mother was super angry.
搬家,bānjiā,Verb Object,to move (house),我昨天刚搬家，现在想去二手商店买一些东西。,"Wǒ zuótiān gāng bānjiā, xiànzài xiǎng qù èrshǒu shāngdiàn mǎi yīxiē dōngxi.","I just moved yesterday, and now want to go to the second-hand shop to buy something.",谢谢你帮我搬家，我请你吃东西吧！,"Xièxiè nǐ bāng wǒ bānjiā, wǒ qǐng nǐ chī dōngxi ba!",Thank you for helping me move. Let me treat you to a meal!
请客,qǐngkè,Verb Object,"to treat, to invite to dinner",今天我请客，你想吃什么呢？,"Jīntiān wǒ qǐngkè, nǐ xiǎng chī shénme ne?","Today is my treat, what do you want to eat?",他昨天请客吗？你们去哪间餐厅吃呢？,Tā zuótiān qǐngkè ma? Nǐmen qù nǎ jiān cāntīng chī ne?,Did he treat yesterday? Which restaurant did you go to?
